字段1_文本,字段2,时间,字段3,时间1
孤寂的游离,"选车经历：今年父母结婚30周年，就想把老妈开了9年的看迈腾换掉。因为还有油车所以想买台纯电日常代步，短途出行。从ID3到汉EV再到EQE，眼光越来越高，家母中意EQE，眼看450先锋优惠快谈到40出头，但综合考虑工作原因还是pass掉了，50岁左右的父母对品牌的执念还是有的，退而求其次选了吉利大聪明。因为家在北方，再加上准车主喜欢大红色，就顺势定了个四驱巴博斯。
提车小记：网上下定，北京门店提车，注意这东西车先到，发票后开，也就是说当天开不出临牌，必须到店两次，当然如果放心的话也可以线上验车，开票，这点差评（估计新势力很多都这样）其余都正常，和交付专员提前沟通了花束贺卡小仪式，家人也比较满意。
驾驶感受：提车当天满电两人全程高速270公里，温度20°C，到家表显还剩14%。纯高速行驶将近7折，四驱双电机确实生猛，巴博斯模式下和model3p加速体感差不多，转向精准，底盘很整，但刹车实在不行，信心很不够。
空间配置：空间大小够用，虽然也是SEA纯电平台，但地台没有和极氪001那样被电池垫的特别高导致后排小板凳，科技配置属于是当前国产新势力平均水平，某些方面是没奔驰的命但一身奔驰臭毛病，DDDD。偶尔车机犯傻，遥控泊车不好用，其他目前没发现。
总体评价：这车性价比并不高，但是也没什么后悔的，新能源就是这样，一浪接一浪，刚提车就赶上极氪X预热，同配置价格差大几万，但反过来想毕竟是家人开，多少还沾点品牌认同度。老妈开着舒心就得了。

截止5月20号上牌贴车衣，跑了1200公里，充了三次电，反馈总体不错，最后希望各位车友都能得偿所愿，选到心仪的座驾。",2023-05-26,北京,
竹立头,"【购车经历】
今年四五月份准备添置一辆纯电车，先后关注了大众id系列、比亚迪海豚、比亚迪海豹等车型，但是最后都因为种种原因不是很满意。正好当时smart开放小定，感觉外观内饰都还满意，价格也在预算范围内，就果断付了500小定了。6月份开放大定的当晚有幸手速快，十点前就付款成功，最后成为九月份提车的首批车主。

【驾驶感受】
三个月不到行驶了5400公里，可以简单谈谈驾驶感受。刚上手感觉方向盘不轻，和我的手动马三星骋有的一拼，身为一辆SUV指向是很不错了，操控对于买菜车来说算优秀。但是头一个多月在高架上退出ACC以后感觉方向打起来有点膈应，有点抢方向的感觉，不过近期一次OTA以后就没有出现过了。

【续航】
平时一天上下班40公里高架路，续航每天稳定的掉10%，所以这么来估算的话高架续航是400公里？但是平时也经常跑高速，高速120匀速开的话跑个200多公里就得找地方充电了，极限估计能跑个300多一点。

【最不满意】
唯一感觉不满意的就是从正面看，感觉车头很偏，跟个鸭嘴似的，不太好看。但是这是个人主观感受了，其他角度都挺好看的。",2022-12-26,苏州,
zeal008,提车4个月整，刚好开到10000公里，是时候来聊聊了。 首先外观和内饰必然是满分(截止#3出现前，哈哈哈)，商场闲逛中老婆一眼看上，于是成为了我冲动消费的理由。 空间方面，一台4米2长度的车，得益于电动架构可以轻松做到四轮四角，车内乘坐空间是超出预期的宽敞。尤其是非常开阔的头顶空间和电动遮阳帘，是相比很多电车的巨大优点。另外关于后尾箱空间，由于后排座椅可以前后较大幅度滑动，靠背也能多角度定格，完全能满足我两口人的日常需求。 配置方面我的扣分项是巴博斯版缺少的座椅通风，夏天真的非常需要。顺带一提巴博斯版唯一需要订阅的是方向盘加热，但是不知道为啥提车后app送了我一张券，于是我免费的永久的得到了这项功能，惊喜。 智能化方面，两分扣在智障辅助驾驶，只能算是个车道居中更加舒服一点的ACC吧，算了不提了。 驾驶方面，巴博斯版，除了3.9秒的一脚快，更多的是给我日常动力需求时的信心——当我想超车时，我知道大部分人快不过我。但是要说多出来将近4w值吗。我觉得并不值。个人建议买后驱就够用了，此结论同时适用于极氪X(我也试驾过)。因为除了动力，和相应的高电耗，其他的调教没有变化，悬架仍然是软软的舒适家用取向，弯道中撑不住，刹车时点头重，这不是一台性能车。 关于品牌销售策略的吐槽。最先是在22年9月定的premium版，当时包含现金折扣，选色折扣，终身三电质保，免费充电桩等权益。苦等5个月到23年2月开放巴博斯转单，为了外观和四驱我没考虑就转了，最后只剩现金折扣4000其他权益全部消失，不得不说真的很垃圾。 最后，说下选车逻辑：两口家庭，喜欢开小车，已有油车备份，需要一点点精致感，预算相对宽裕(30左右)，所以smart很适合我。而当你在考虑家用刚需，考虑空间和性价比的时候，建议划走别看smart。 最后的最后，如果现在给我一次自己选择的机会，我选极氪X后驱四座+全部选装，哈哈哈哈。,2023-07-04,宁波,
mapleleafww,【购车经历】 家里已经有两辆油车了，第三辆就是准备来辆电车，特斯拉，蔚来看了，特斯拉内饰太素了，音响也不太好，蔚来et5不错，奈何知道的比较晚，想订车只能明年提车了，剩下的就是大聪明了，大定时运气比较好，晚上八点多的订单，算是第一批提车，而且后来又能升级巴博斯版本，就不纠结了。 【驾驶感受】 平时经常用巴博斯模式，加速很快，地板油有眩晕感，挺刺激的；隔音还行吧，中等水平，胎噪还是有点大，风噪不大；音响我个人感觉不错，这个价位里还是有竞争力的，内置qq音乐，前五年流量免费；抬头显示很好用，实时速度导航限速这些信息都有，360清晰度还可以，就是倒车时候偶尔出现卡顿情况；目前跑了400公里左右，平均电耗16.5kwh，感觉有点高，也可能是驾驶习惯的问题；这车也有单踏板模式，但是用不惯，动能回收有低，标准，高三个模式，一直选的是标准模式，有一点拖曳感，还能适应。 【乘坐体验】 前排座椅包裹性一般吧，头枕是有点硬的，后排空间不错，中型suv的水平，后排中间地台无凸起，整体表现比较满意。 【最不满意】 后悔选哑光灰的车漆了，车漆薄，还不能抛光，只能花重金贴了个车衣保护一下，不如选个黑色的，好打理，腻了就改个色。,2022-10-24,北京,
摩登大湿L,"【购车经历】
外观好看就够了，不需要太多理由。


【驾驶感受】
和极氪001同平台，驾驶感觉没的说，底盘韧性十足，支撑很不错，过坑洼低，减速带都没有僵硬的感觉。200KW的动力非常够用，加上电车的特性，加速的体感比同马力的油车更强烈，日常用动力过剩。


【续航】
续航目前来说还行，标称560，实际切换至动态续航大约450左右，符合预期，但不算优秀。

【内饰】
需要吐槽的就是中控台的一大片白色，反光还是非常明显的。其他部分很不错，包括座椅，氛围灯，中控设计，都可圈可点。用料尚可，门板上塑料件有点多。

【空间】
小身材，大空间。前排座椅不拥挤，中控台下方有隔层储物格，好评，座椅也比较舒适。后排空间在这个大小的车里属于中等偏上的水平，家用也是妥妥的够用，可以说是宽敞。后备箱大小客观，下面还有隔层，空间不小，后排座椅可以前移来拓展后备箱空间，这点是很多车没有的功能，打开前机盖还有一个小的储物格，总体来说很OK。


【不满意】
车机系统保持了厂家的一贯niao性，虽然用了8155芯片，但整体的使用还是有点不是特别流畅。菜单的设置有点乱，有一些功能逻辑还是不清晰，或者说逻辑不对。软件商城还没有软件，希望快点更新上架。软件问题可以通过ota解决，就是希望厂家能尽快修复bug。


总结：外观，内饰的设计偏小资风格，从设计的方向看，偏向女性客户，很适合女性车主驾驶。整体的做工用料对得起这个价位。",2022-10-17,杭州,
炜主,上次成都车展时就想去试一试。很久没有去试驾了，之前因为口罩和限电，都没怎么活动。去了Smart一家4S店，有几组人都在看，不过整个展厅就一辆次低配。服务态度方面只能算中等，略显粗躁了点。试驾车是个Barbus版本的。 外观方面，比较帅气，符合国人审美。小巧不小气。 内饰，保留了奔驰的豪华感，但比起奔驰还是有一定差距。另外皮质包裹不是那么多，但基本区域是有的。 配置方面，其实现在已经基本该有的都有。主流的自动泊车、360环影、车机app下载等等都有，这点非常不错。L2辅助驾驶是有的，开起也较为方便。 空间不是强项，但日常是使用就搓搓有余。有一个小的前备厢。大小比Q3小一些，但使用空间多于Q3。 续航方面，由于试驾时间有限。但看了下试驾车电耗在18样子。当然试驾车一般都开的比较暴力，还算不错。 智能化不是强项，现在能可用的App并不多。 驾驶感受方面，加速不错，尤其是barbus版本，双电机不是盖的。体感上比Model 3P慢，但也算优秀了。刹车距离也不错，急刹下，刹车行程较短。高速转弯，侧倾略大，当然也是SUV的原因。另外，方向盘轻，适合女生驾驶，即使在运动模式下也不重。轻快好开，日常通行也比较棒。 车价方面和其他纯电车一样，基本不讲价。加一个保险一上牌（车管所自己去）就开走。这点还是不错的，要送电桩。我觉得城市代步讲些品质的，可以去试试。 纯纯个人观点，不喜勿喷。,2022-10-07,,
连刷牙也照着节奏,跑了1000公里了，总体没什么大毛病，车头前脸位置有一条漆面以下的痕迹，引擎盖上有四个哑光点，验车的时候没太注意，回来之后发现的。 本来是小事，并不影响使用，按道理只要厂家或者4s店态度好点，稍微给点补偿，这事儿就过去了。可咱大聪明就不，我不经惊讶于交付中心的傲慢态度和没脸没皮，以及交付中心与车企之间相互推诿，所以说还得是咱大聪明，善于从根本上解决问题，怕客户到4s店维权，咱就不开4s店了，也不提供4s服务，但凡交付中心把车交出去，那就谢天谢地，这车就跟咱没关系啦哈哈。反正400是自家的，叫你轻易打不通，打通了也不给解决，叫你投诉无门。 衷心祝愿大聪明早日倒闭！退出中国市场！劝大家谨慎购买这种这种谁谁设计，谁谁代工的“杂交”品牌！,2023-03-09,广州,
你看什么看看看,4.25日小定，6.6号8.56大定，9.26日提车，150➕天的等待，总体来说符合预期，现在3264公里，每个月基本100块钱电费，油车已经放着吃灰了，e300每年都在贬值，又不舍得卖，只能放着，给媳妇买的，实则是我自己再开，动力足够，随叫随到，刹车稍微拉胯一点点，感觉邓禄普的刹车雨天也滑，360拼接的一般，后续希望改进，底盘扎实，9月份从南京开回家 360公里差不多，中间冲了30块钱电 到家还剩下10%左右，续航总体来说还行，只要后续不锁电，不削动力，希望早早的更新出第三方软件以及carplay， AFS好评，自动远近光也好评，辅助驾驶平时基本不用，还是自己开着方便，当然，小bug也挺多，记忆稍微不准拉，开机慢啊，都有这个情况，只希望程序猿加油更新，提到车的都说香，订单延迟的都在骂 又爱又恨，总体来说还是香的,2022-12-09,南京,
炎丨灵,"自己开极氪，第一批买了巴博斯版本价格比较合算，25万多，开在城市里确实比极氪随心所欲，加速还更快一点点，穿梭起来舒服，毕竟小了不少。行驶质感确实不如极氪的空悬。主要给老婆代步的，有时候我也爱开出门跑街，城市出行确实很爽。颜值高，回头率比极氪高多了，哈哈。

66度电，加双电机，猛点开确实续航不高，300-350左右。不过城市代步太够了，出远门就开极氪，跑个500没问题。

内饰设计是真的强，明明没用什么高级材料，就能给你时尚高级感。

开不回去油车了，油车都卖了。目前两台车充电都不要钱，用极氪权益，每个月1000度还是用不完，出门只要超过1公里就开车。

老父亲不相信我说的开不回油车，然后跑了一次200公里长途，极氪给他开，相信了。让我给他选一台电车，不开油车了。",2023-05-10,泉州,
飞甩猪毛913,【最不满意】 所谓的抽签购车，基本你抽就有！后来情人节又多了1314台，而且过了2022年的国家优惠政策！都是厂家的好意。 【驾驶感受】 这对于近几年的电车我都有好感的！电车在最低，对操控是很大的帮助，加上双双电机，对于以前的改装车需要很大改动才能达到！三四秒的0-100加速，其实普通版已经很好用了。所以对于十几二十年前，车进步了太多！对于新手真的不是太友好。还有整车我对避震是大大的赞，唯一缺点是本来suv行程比较大，如果是大的波度避震是拉不住的，心里一直想换个避震来降低车身，但是有觉得避震不错和根本没有出这车的改装避震。 【续航】 BRABUS模式估计是280左右！普通模式就400左右。 【乘坐体验】 因为选择这车是一直是喜欢小车，其实4.3米也不小了，对于电车估计真的属于中小型车了，因为我身材不高！前排坐一小时没有问题，后排不好就是细的过滤不太好。还有车尾箱的空间不是太大！基本就放下我的折叠自行车。,2023-03-27,佛山,
