邮编_文本,字段1,时间,字段2
清爽星辰EPHEV,起初看车是奔着皓影去的，确实不知道还有Phev插混车型，插混是到了4s店才接触到的。试驾一圈感觉纯电行驶噪音很小，但发动机介入的时候很明显。 说说优点吧 上下班60公里，纯电基本够用，平时出差用油没有焦虑，主要是行驶质感比纯油车好。 动力方面油门响应非常及时。电机起步加速非常快。高速超车发动介入更不在话下。但是我开车比较稳。所以不怎么暴力驾驶 不足之处，就是车机反应慢，app有卡顿。大灯亮度一般。,2023-12-28,潍坊
皓影插混,"同事买了奥德赛混动，据说车不错，性价比高，所以我也关注了本田的混动，因为我只选择SUV，所以看了皓影插混，网上看了很多攻略，直到订车，一开始想定23款尊享，但是车很少，不知道等到什么时候，店里说有个顶配尼斯蓝现车，优惠5万，果断就下定了。

开起来比油车爽很多，特别是起步，电量足的时候一脚油门下去直接就往前窜了，因为起步是用电的。没电的时候这车亏电油耗高速充电模式开空调120码（零下八度）10个油。平时市区上下班8个油左右，省道的话速度80到100油耗6个，能接受。高速上速度过了100之后风噪有点明显。配置比较满意，除了没有胎压数字显示，其余的没得说，该有的都有了，毕竟是顶配了。空间很大，虽然平时后排不怎么坐人，但是这车的空间宽敞性可以的，后排坐三个成年人不会很挤。",2023-12-27,潍坊
璇宝卢卢,买皓影插混最初是我父母的意见，他们对日系很满意。我一开始看中国产，但实际开下来对皓影很满意。颜值漂亮无可挑剔，空间超大，特别是后排，还能调节后排座椅，虽然手动，但比好多车不能调好多了。内饰简洁实用，就是屏幕再大点才好。驾驶感受非常好，平顺又加速快，悬挂也好，小颠簸小坎都能过滤，毕竟是什么ADS悬挂，咱也不懂，反正开起来舒服。智能化配置方面就稍微差点了，车机真不行，导航跟不上，而且没有胎压显示，我车胎扎钉子两次了，都不提醒，郁闷。静音方面也不错，低速没什么声音，高速有风噪，我开的比较多，三个月开了快8000了，也首保过了，总得体会这车真实用，还特别省油，长期不充电的油耗差不多6个，家里装个充电桩，短途和电车一样了，反正特别适合家用，有人说绿牌车买本田是冤种，我要说谁开谁知道，开过的都说好，哈哈。,2023-12-12,无锡
活泼光束ODG,"外观比较大气 后灯穿透力很高，夜间比较显眼前大灯led也是矩阵式 
内饰设计中规中矩 旋钮挺棒的 转起来听清脆 方向盘手感很好，没有虚位，而且方向盘功能挺多的有媒体控制区 有车辆l2 级别辅助驾驶
车机系统功能很多 可以跟车机对话，有地图 音乐 天气等实用功能。可以解放手机 。
续航方面纯电的话能到60公里左右，也比较中规中矩，毕竟是插混车型，满足短上下班途续航就够了，提醒一下能按充电桩尽量按，充电方便。
空间方面也比较大，驾驶位有足够施展空间。乘坐位也绰绰有余。后备箱空间非常大，总之空间很满意。
缺点就是电切油时发动机介入声音略大，高速行驶时声音比较明显，其余都不错。只要优点比去的好多了就是一台好车。",2024-01-12,济宁
李昂S三光,"【油耗】
最满意的是油耗，广州上下班平均时速18，满电可开85～90km，馈电油耗仅5.5。之前开16款轩逸，相同路况下百公里油耗可以到9。

【续航】
满油满电，可以开800km以上，日常通勤每天30km，可以实现一个月只加一次油。

【空间表现】
后排地面凸起很小，空间表现很好，后备箱也巨能装。

【最不满意】
导航弱智，车机语音识别也不好用，经常语音误识别''正在为您切换''，替我换了正在播放的音乐和FM。

【乘坐体验】
隔音很好，关窗开窗简直是两个世界。行驶过程中发动机启动时仅有轻微感觉，但原地启动发动机还是有很明显的声音，急加速可以听到发动机怒吼。",2023-11-19,广州
阿恒恒恒恒,"选车选了差不多三个月，20万左右的基本都看了，没有特别喜欢的，后来身边人建议日系，所以就看了皓影，整体还可以，主要是价格也符合预算了。


外观：虽然是插混，但外观看起来和油车没区别，这点和国产新能源有点不一样，国产插混看起来电车的感觉多一点。

内饰：从我看车经历来看，合资车的内饰质感不如国产车的，20万的国产车真皮，翻毛皮，木纹板都有，皓影内饰的真皮占比不够多。

空间：这是最满意的，我们家个子都比较高，对空间要求还挺高的，皓影的车内空间是足够的，坐垫也挺舒服。

配置：顶配还可以，肯定够用，但是智驾这块肯定不如国产，有L2级别驾驶辅助，但激光雷达这些没有的。

动力：城市里开的比较多，起步用电，很轻快，比较安静，不过发动机介入之后能听到声音，主要是省油，纯电续航七八十公里，平时短途代步就用不到油了。

总的来说优点大于缺点，不足的地方就是内饰质感不如国产，科技配置尤其是智驾，车机这块不如国产，其他都还比较满意。",2023-12-31,济南
寄托603,提车了，刚刚落地半月就来写感受了，牌子现在都没上，因为当时买车12月份，临牌半个月，想落一月份的户所以迟迟也没去上牌。当时皓影插混吸引我的就是试驾的时候起步非常丝滑而且没有噪音。可能是我没开过cvt的原因，感觉提速根本没有顿挫感，空间也是非常大，后备箱有充足的空间放点杂物跟出行工具，比如我的鱼竿放下绰绰有余。这么大的车油耗居然现在才2个，可能是我提车时间少的原因，看到大家都说4-5个油，这个我跑一段时间再给大家追评，作为家用车来说，性价比非常高。最后提醒下如果提车的车友，如果有条件一定要按充电桩，不然的话非常不方便。,2024-01-11,济南
高原梓,爱车优点：节能环保，平时在市里默认纯电模式，跑起来不心疼。如果跑的路程远不用担心充电排队浪费时间。当时看它觉得外观设计好看，一般高档车黑色显得上档次，这个星空蓝看起来稳重大气。内饰整体用料和做工可以，车内储物槽比较多，每个车门上的储物槽都很大，后备箱比较大，无论前排后排空间比较宽敞，空间布局合理。方向盘握起舒服，驾驶起来比较轻松，力度非常轻。座椅坐起来舒适柔软，对身体包裹性不错。档位按钮式操作起来简单便捷，车的驾驶辅助配置比较多，驾驶轻松自如方便，起步快动力足。等红绿灯时或者停车的自动驻车非常好，倒车影像清晰。因为购车时间太短能耗没有算过。缺点：电的续航能力有点短，冬天耗电太快，隔音效果不足。导航系统有版本有点低。外边快充不能用。,2023-12-13,青岛
好学橙子OVO,【购车经历】 家里人买的都是两田的车，着实可靠。想着还是买个皮实耐造的。就从威兰达和皓影里面选了，无耐威兰达的内饰太丑，领导不满意，就果断看了皓影。 【驾驶感受】 去4S店试驾了燃油和插电，感觉就是两种车，开过插电再开燃油，立分高下，百公里加速感觉应该在7～8秒，加上没有购置税，妥妥安排！ 【油耗】 平时上下班基本没加过油，100块的油能用1个多月，因为没有车位，所以都是公共桩充电，1度0.9元，算下来比油车一个月省200多吧，插电比油车差不多贵了3w左右，很多人都说你省的油钱基本都在车里了，但是体验不一样啊。 【亮点配置】 买车的时候就是直接安排顶配。不想在后期加装了。方向盘加热，座椅加热通风，智能辅助驾驶，都很实用。,2023-12-24,滨州
魔法河流flU,从国庆提车到现在的一些使用感受： 优点： 1这是一辆电车属性的加油车，因为和油车完全不同的体验，之前只是开车快，现在起步也快。 2.发动机逻辑上“节能模式”就是一个完全没有存在的必要，本来主打传动比，但先充电保电、再驱动，能量角度没有任何理由，但追求纯电驱的可以理解，毕竟只是多烧点油嘛，所以好的体验和服务是可以花钱解决的。 3，不会有续航焦虑，我没考虑纯电车会有续航焦虑，如果是出远门的话皓影多烧点油就好了。正常满电续航有80km左右，亏电油耗是5.9 缺点： 1、慢充站真的很难找，现在基本市面上的都是快充，在外面想补电的话比较麻烦。 2、车机智能化比不上新势力品牌。 3、空调制冷是真的冷，但制热好像不是太给力,2023-10-24,苏州
另一个Zz,"买电车有里程焦虑，买油车嫌油价高，所以折中选了插混车，短途代步也能当电车用，一般续航六七十公里，家里装了充电桩，所以很方便。我平时高速开的很多，相比之下感觉插混比同事的1.5T增程高速要更省油，整体油耗都是我接受范围内的。

高速动力比油车好很多，跑120很轻松，而且高速很稳，包括刹车的脚感也很好，可能是有电池的关系，高速底盘比我之前开的汽油车都稳，有东西压着的感觉。

不满意的一点是内饰稍微欠缺了一点质感，看看20万的国产车，木纹饰板，氛围灯，真皮，怎么高级怎么来，皓影在这方面还是欠缺一点。",2024-01-09,德州
