字段1_文本,字段2,时间,字段3,时间1
伊怡以翊,"【空间表现】
哪吒汽车的车内空间够宽敞，家里老人的评价是:“这车坐着挺松宽”。儿子身高1.87坐后排，头部、膝盖都还有空余不少的空间、后排乘坐三人完全无压力。后备箱空间挺大的，放2个大号行李箱没问题。而且有背箱隔板设计让车内整洁又美观。小小的细节体现出哪吒造车的用心之处。
【续航】
我的哪吒是登月版500公里续航，2月提车时天气还比较冷，气温零下几度，当时电耗大概在18-20。现在天气暖和了电耗基本在12-14（1比1）。冬季续航会打折扣大概在6折左右。冬天费电这是电车的通病，各品牌可能都差不多所以不纠结了，对于我上下班通勤基本够用了。（夏天续航目前没有体会）。哪吒还有免费充电桩安装和3年权益免费充电（每年2000度），用过的都知道，免费奶真的太香了
【充电时间】
充电时间:现在的天气温度在电量剩余10%-20%的时候，快充充满需要1个小时，80%之前充的比较快，80-100%出于对电池的保护所以充电相对慢一些。
【最不满意】
等车时间稍长，大概2个月，等的有点着急。都说A柱大挡视线，确实有点，但我觉得还好，可能是我身高比较高吧（1.72），感受不是很明显。
【购车经历】
家里2台燃油车，想把其中一台换成电动车，开始考虑比亚迪的元puls，结果等车时间太长，果断放弃了。哪吒论外观论内部空间，还有辅助驾驶系统都很出色，在紧凑型SUV车型里性价比是有目共睹的，很庆幸选择了哪吒。
【提车价格】
裸车价格13.98万，落地14.5万不到，其中保险3800，验车上牌1000。旧车置换补贴8000，还送了车膜，脚垫，后备箱垫和一些小礼物
【驾驶感受】
驾驶哪吒让我觉得很舒适，方向盘很轻，迎宾座椅很智能，运动很软坐着舒服。3种驾驶模式都使用过，运动模式起步，超车都很给飒。

辅助驾驶中自适应巡航用的比较多，定速85迈，解放双脚感觉不戳。
辅助并线和自动泊车入位虽然我不怎么用，但是很适用于新手司机
车道保持辅助系统，可以实现车机偏离车道时会自动回正，是一项很不错的辅助系统（前提是路面划线清晰）
pm2.5过滤装置:从提车开始，新车，车里基本几乎没有味道，这点超出我的想象，这可能要归功于pm2.5过滤装置
悬架减震舒适性:官方参数是:“前悬架麦弗逊是独立悬挂，后悬架是多连杆独立悬挂”。感觉驾驶和乘坐的舒适性都不错。尤其后排，遇到路面颠簸不会感觉很颠
360°全景摄像头:在转弯和倒车的时候影像会自动跳出辅助转弯倒车，是一项很实用的辅助驾驶系统
智能语音系统:驾驶过程中用语音口令完成指令，免去不必要的手动操作，让司机专心驾驶很不戳
车联网:每月赠送5G的流量，让导航听音乐无忧
【维修成本】
没遇到任何维修问题，忽略……
【销售态度】
销售态度很好，有问必答，由于我提车着急他每天都帮我询问发车动态，而且购车当天就为我建了专属群（群里都是专家），用车过程中有任何问题随时都可以在群里询问，他们会为我解答。哪吒汽车真正做到了他们的口号“好车不贵，服务顶配！”",2022-03-21,北京,
北京车友小灰灰,"先交代一下背景，北京购车，Upro 400巡航版，女车主。
【提车价格】
裸车9.98万，上牌500元，保险3600元，0购置税，0分期手续费，落地10.39万元。

【最满意】
外观：线条流畅，具有辨识度的“泪眼”大灯，贯穿式尾灯，流水式的闪烁，风火轮造型的轮毂
仪表盘：全液晶仪表搭配中控屏组合成双连屏设计，科技感十足
悬挂：悬挂软，过沟沟坎坎的时候减震效果好
空间：内部空间很大，舒适度高。
倒车影像：倒车影像清晰。（看过RAV4的粗糙倒车影像后，觉得我的车倒车影像真清楚~）
【最不满意】
A柱：A柱宽，遮挡视线，左侧盲区较大，左转时需要非常小心。
反光镜：左右反光镜的位置高，挡视线。（根据其他车友经验，分析是因为车门部分比车窗部分面积大太多，窗户小，所以视野不好）
方向盘：不能四向调节，只能上下调节，不能前后调节，导致如果前后距离合适了，腿部空间会缩小，方向盘磕腿；如果上下距离合适了，手够不着方向盘。
出风口：设计过于扁平，屏幕下侧多出一块，不实用，出风口没有合适的地方放手机支架。app：车辆相关信息少，没有平均电耗，或者驾驶行为统计。
运动座椅：不好配颈枕，如果没有颈枕，后脑勺会磕在中间硬的方框的地方。
【购车经历】
2021年6月12日交定金，告知等待一个月提车，但是一个月后杳无音讯，环球版紫色一直没有货，有点着急了，最终7月29日提了现车巡航版墨玉灰。
【驾驶感受】
作为拿了10年驾照但是不曾拥有过一辆车的新手老司机来说，对于驾驶方面没有什么过多的要求，总体是满意的。
方向盘轻，转向灵活，加速超车什么的也给力，倒车影像清晰，雷达灵敏。速度超过80的时候风噪开始明显，会很吵，而且可能是400巡航版车身轻的原因，感觉速度快了之后车发飘。车漆薄，蹭墙就露底漆了，左前右前都有伤，有的都不知道怎么弄上的，反正就是掉漆了。
【空间表现】
乘坐空间没话说，坐我车的所有人都会夸赞这车空间大，舒服。后备箱空间略小，比轿车大，但比某些SUV小一点。副驾驶前的储物空间小。
【续航】
续航不用焦虑，夏天开空调的话到85折，冬天开空调65折，十几二十度这种舒服的天气，不开空调直接1:1或者95折，续航很实的。而且有赠送的电，免费权益的充电桩北京基本全覆盖了。自己家也有充电桩。
【保养】
目前还没有到10000公里，还不需要保养。",2022-03-17,北京,
丁丁丁落,"1月3号下的订单，然后历经千回百转，在4月2号终于提车了。相对来说等了这么久,拿到新车开了两天,稍微写一写自己的感受吧。【唉，本来想能多开一段时间再写的，结果认证车主的时候就要我填。】
外观方面，他的前脸相对来说比较的另类，侧面的线条会有点圆润的感觉。从侧后方的角度来看，还是挺好看的。尤其是从后方的溜背的造型，我觉得还很有线条感。我买的灰色相对来看上去也还比较的有商务感吧。嗯，值得一提的是，刚提车的时候，车辆的门下面的那个塑料面板上的颜色有点不均匀，后来销售用那个塑料的什么翻新剂把它涂了一下就好很多了，估计是我这辆车在车厂，因为缺件放了太久，可能有一些氧化之类的缘故。。在总的来说也还行吧。

内饰方面，那次是我比较看好的一个点，虽然比较简洁，但是并不简单。中间那一条软布的那个横线是很有高级感的。车内的软性材质的部分也挺多，之前在等车地也看了很多人说这个一体式座椅好像不太好，不过我这两天自己座，倒没有太大的感觉，可能后期会加一个头枕？再看看吧。

配置方面，我的是登月的版本。嗯，相对于巡航版多花了4万元，就多在电池，天窗，还有2万的智能辅助。总归该有的东西还是有的，不过他的那套智能驾驶辅助，我在市区里看还没有用得上，那个自动泊车在试了一下，但是好像效果不是很好，看来我那个地方是一块比较空的地，没有明显的车位，它没有识别到。这个自适应巡航以及车道保持之类的，以后有机会上了高速我再来补充。值得一说的是，那个氛围灯的颜色太暗了，调到四档，在晚上也不是很亮。

空间方面，总体来说还是很大的，2m7的轴距还是很优秀。嗯，要说不是很好的地方，嗯，一个是后备箱没有想象中那么大，还有就是驾驶位放左脚的那个踏板，感觉空间小了点。然后这个天气温度不是很高，但是没有贴膜的话，太阳晒着，车内会很热。

智能化方面，语音唤醒相对来说还是比较灵敏的。基本上语音的就能帮助你完成大多数的事情，这个我有点想吐槽一下，目前使用来说，有两个比较明显的问题，一个是无线充电接触问题，手机放上去基本上就是总是充不上。还有一个就是那个电动尾门的脚踢感应，提车的时候就怎么试都感应不到。虽然说这也不算什么大的问题，但是毕竟是比较明显的。其他的就说明介绍应该有的都有。

续航方面，现在春夏之际基本上能达到1:1，嗯，开空调的话可能会打个8,5到九折吧。市内通行应该还是可以的。高速现在还没有跑过，可能速度要是到120的话，风阻或者点击消耗的功率会更高。估计可能就得是七折多左右了。冬天的话，根据我朋友的买车情况，可能冬天会再在这个基础上再打七折。总归我没有高速需求，所以这个不是很介意。

驾驶感受方面，有一个特点就是它的油门踏板很灵敏，踩下去他的回馈会很及时，而且它的油门是那种祖尼是弹性很软的感觉，和油车相比就没有那种用地板油踩下去，然后迟滞的那种感受，这个就见仁见智啦，我觉得其实也还行吧。另外就是感觉他这个配速表的显示和实际的速度，是不是有一点不一样？感觉你开了可能才四十不到，它显示可能都到50了，或者是SUV比较高，我感受的速度没有那么明显吗？下次我用手机测速仪打开对比一下看看。

综合来说，我认为这个价位性价比还是比较高的，而且我一直认为国产的电车不管是什么品牌，其实都没有很大的技术含量的差别，所以不管是从经济性的角度还是自己驾驶感受上来说，我觉得哪吒是值得的，嗯，也许后续根据我自己的使用情况还会来更新这个帖子。毕竟我现在才提车两天嘛，再多适应一段时间后看看有什么别的感受。",2022-04-05,九江,
阳光ir,"【购车经历】

因为老婆上下班时间与我不一致，再加上要接小孩，两个人要有点事情一辆车也是用不过来，想着再买一辆，因为家里有辆油车，也是轿车，所以想着买辆用电的SUV，也是在各个论坛泡了一段时间，本来想着买辆比亚迪的e2，样子也是真的好看，后来经销商说要等好几个月，想想还是算了吧，后来同事买了辆哪吒V400长续航的，觉得看的样子也不错，包括功能也还可以，尤其是这个中控屏，我老婆也看的不错，就是后排空间略小些，就预定了哪吒Vpro829智享版，一直在等车中，在一次偶然的机会，看到了哪吒Upro，这个前脸是真的好看，和老婆商量后，觉得还是货比三家，别的品牌也看看，第二天就直接去汽车城逛了逛，比亚迪，吉利几何，广汽埃安也都看了看试驾了下，综合来说还是哪吒性价比比较高，路上比亚迪和哪吒比较多，就直接订了Upro610探火版，也是支持国产新势力吧，希望做得越来越好，这个购车也是比较曲折的，最后来说说这款车吧，比较满意的还是外观及座位空间，16万就能拿到610续航的，还是不错的，也是感谢销售顾问，买订车前，包括进店，后期咨询问题，都特别有耐心，值得点赞，

【空间表现】

1、储物空间，比较少，包括水杯架在中控下面拿拿也不方便，门的储物空间也没有水杯架固定，副驾驶手套箱空间真的小；2、手机无线充电功能不灵敏，还没有用线充的快，后期打算把它改成水杯架，增加储物空间；


【最不满意】

1、天窗及遮阳幕都没有激活好，我都以为按键坏了呢，最后还是自己给它初始化弄好的；2、这个价位无钥匙进入只有主驾驶可以，其他车型全车都可以，影响使用感了，不太方便，钥匙也是老是碰到按键。

【续航】

总体来说这辆车还是比较多满意的，续航方面也是夏天，觉得还可以，差不多是1:1，除了高速及高架上达不到，至于冬天还没碰到，续航也不知道能跑多少，其他也都是小问题，也是可以接受

【充电时间】

这款车居然没有随车充，只有充电桩，也是不太方便，当然随车充充的比较慢，肯定还是充电桩快；",2022-03-20,杭州,
我要放大招咯,提车小一个月了，开了几百公里，充了4次电，除了高速，城市道路和快速路等各种路况基本都来了个遍，自觉有点发言权了。 首先，最开始没有考虑这款车，知名度在咱这里太低了，但是最后碰到了优惠力度很大的360联名版，就心动了。所以，人不能有贪便宜的心态，明知道降价这么多肯定有猫腻，还是铁着头往上凑。 其次，先说说个人意见的优点: 1.外观确实在一众竞品车（小鹏g3、威马EX5等等）里面算颜值担当了。有棱有角，兼具燃油车和新能源车的造型特点。 2.内饰说得过去，没啥特别的亮点也没啥大的槽点。唯一的槽点就是杯架位置估计对大部分人来说很奇葩。本着无过便是功的宗旨，内饰也算是优点吧。 3.空间在同尺寸里，确实做得好，4米5多的车长，做到了快2米8的轴距，并且实际驾乘后，确实空间不错。 再其次，就是重头戏了，我这人其实对自己买的东西一般持宽容态度，毕竟自己约的P，含着泪也要打完嘛……呸呸呸，错了，自己选的车，含着泪也要说它好。可是: 1.契约精神等同儿戏，厂家承诺的红色卡钳，最后说配件没了，折价，而且是理直气壮的“都给你折价了你还想怎样？“的态度，卧槽，我是要红色卡钳，不是要折价好吗？那合着你要是最后给我一纸糊的车，也来个折价？ 2.从未见过也未听说过只配一把智能钥匙的车型（估计是我孤陋寡闻吧），美其名曰手机钥匙就算是一把钥匙。关键是这车在没信号的地方，根本用不了手机钥匙，因为并不是触碰解锁的那种，而是车要搜索到信号了才能接通蓝牙解锁。我就深受其害了，家庭用车都是俩人，老婆用钥匙，我用手机。结果车在车库没信号，我还得打车回家去拿机械钥匙。厂家的解决方案就是“自己花钱配一把”。真是优秀！ 3.上坡辅助经常失灵，售后的解决方案是打开自动驻车就行了。卧槽，俩功能的初衷根本就不一样好吗。上坡辅助是防止不溜车，自动驻车是拥堵的时候解放脚。自己功能故障居然能推得这么清新脱俗也是够可以的。 4.200公里之后的掉电速度相当快，基本跑50公里能让续航上面掉100的样子。我还没弄懂这是不是属于正常的纯电车电池逻辑。售后的回答也是模棱两可，合着你们好歹是国企，专业点不行吗？ 5.个人账号，几乎是每2次启动都要让我登录一次，等于说是人脸识别基本等于摆设。售后又是那句“请到服务站检查”…… 最后，上面说的缺点都是真实体验，不知道是不是大面积的问题。如果是，希望你们合众汽车长点心给解决了。如果不是，那就算我倒霉，反正不会给你们转介绍，凑合用吧。,2020-12-15,,
寒阳101,"外观：不得不说这辆车的外观极度刷新认知，H造型的大灯有种毛笔粗细的感觉，但山水画书法撰写见过蓝色打底的宣纸么？整个大灯造型极其突兀，但同样值得高兴的是，丑出了新高度之后辨识度以及回头率同样很高。如果买这款车建议选择红色款，只能说那是唯一看起来不是太难受的颜色，当然，如果就是想别出心裁，那看官随意。

内饰：虽然内饰颇有装饰Model 3的感觉，但同样还是非常值得肯定的，朋友选择的是简约灰的内饰，灰黑色的撞色搭配看起来非常素雅的同时也很显档次，特别是浅色的搭配久看也不会审美疲劳。座椅虽然是仿皮材质，但摸起来的手感很好，同时也非常好打理，座垫比较厚，但比较Q弹，不注意直接坐下去甚至能感受到明显的回弹，虽然坐着的舒适度还行，但也因此屁股的包裹有点不足。不过U形的靠背设计以及头枕的角度是真的很舒服，转弯时对身体的支撑也很到位。

配置：双12.3英寸的双联屏加上中控台处还配有一个8英寸的屏幕，任何人上车的第一瞬间都会被这三块屏吸引住。仪表的UI设计还是很高大上的，语音控制的识别也很精准，即使连续说很多指令也能快速识别，但是中控屏内图标比较小，行驶时看起来更加不清楚，对于我这种即使驾驶也不喜欢用语音的驾驶者不太舒服。而且三块屏幕的联动虽然听起来很不错，但实际操作会有半秒左右的卡顿和延迟，当然，无论哪块屏幕单块屏幕的操作还是很流畅迅速的。

透明A柱使用的是两块屏幕，因此画面中间会有一条黑线，作为强迫症患者开久了有种抓狂的感觉。不过氛围灯的色调很不错，如果是小两口夜里，还是很有情调的，你懂的...

空间：就后排而言，只要不是姚明入场后排起码有两拳以上的距离，但遗憾的很大程度上都是通过缩短座垫营造出的假空间，腿部的承托完全不够，我175cm的身高，个人感觉即使把座垫拉到膝盖处空间也是完全够的，有点省料。

操控：动力还是非常不错的，所有电动车有的优点同样具备，动力基本随踩随有，加速也非常快，红绿灯起步能把很多燃油车远远地甩在屁股后面。转向比较精准，基本可以很准确的达到想要的角度，只是高速时车尾不是很稳。

购买建议：不得不说，仅内饰而言以及各式各样的配置而言，基本上能给的都给到了，看起来还是非常涨面子的，但不少功能噱头大于实用性，有没有必要花这一笔钱有待商榷。如果对余外观能够接受，且比较喜欢各式的高科技配置的话，建议在此与Model 3之间做做权衡，当然如果确实囊中羞涩又确实想要这些配置的话，哪吒U还是个不错的选择。

其实还是蛮喜欢哪吒造车的态度的，毕竟哪吒U作为造车新势力，虽然一直处于垫底，但一直在极力给满用户所有的配置，包括这名字也总让我想到动漫里的那句话：“不认命便是哪吒的命。”",,,2020-11-26
答答买车,"哪吒U的官方指导价在10.48万至17.98万之间，我们这次试驾体验的是610探火版本，也是我比较推荐的一个版本。

610 探火版，NEDC续航里程610公里，搭载三元锂电池。在前不久懂车帝在牙克石的冬季续航大比拼中15万级纯电SUV中，续航、能耗、制动、圆环测试中也都取得了第一的成绩。总结三个方面来说，1、高能量比电池：电池能量密度高达180Wh/kg。2、电池恒温管理系统：95%使用时间下，电芯保持在15-45℃的最佳温度区间。3、主动式闭合式进气格栅：根据工况调节开合，高速工况下，百公里节能0.91kWh， NEDC总里程最高提升37km。以上三点都对冬季使用有明显的续航能力提升，但冬季充电速度不及同级的埃安V、几何C和零跑C11。

空间
长宽高尺寸4530mm*1860mm*1628mm，轴距2770mm，车身并不大，但实际内部空间已经足够生活所需。

内饰
全液晶仪表和中控屏均为12.3英寸，形成双连屏效果，分辨率和灵敏度都和同级别车型一个水准，没有特别明显的优势，但支持语音交互的小机器人挺有意思，可以有表情的交互，但屏幕画面的显像动画不好看，不显高级。中央通道搭载一块控制屏，主要是对空调等常用功能的操作，但角度过平直，有明显反光。座椅舒适度还可以，为一体式，虽然好看，但头枕无法调节，如果对这方面有要求的车友建议自购加装头枕。后排地板纯平，坐垫平整，后排中央扶手打开后有设计纸巾盒，很贴心。

动力
前置单电机布局，最大输出功率150kW，峰值扭矩310N·m，这个参数在日常使用绰绰有余，并线，超车都会比较从容，起步“抬头”、刹车“点头”的状况也比较明显，前悬挂麦弗逊式独立悬挂，后多连杆式独立悬挂，调校偏舒适，缺乏运动性。另外在测试中发现转弯半径并没有纯电平台其它电动车有优势。

配置方面在这个价位已经非常全面，电动感应后背厢、360度影像、疲劳监测、辅助驾驶系统、胎压显示、蓝牙钥匙、远程启动、电池预加热、无线充电、前排座椅加热、自适应远近光，基本上都是很实用的配置。",2022-02-15,,
不浪漫的小羊,"本来家里有辆油车，考虑到车龄较长了，用车成本也比较大，加上周围的人越来越多买了电动汽车，于是，换车的目标就直接瞄定了新能源汽车！购车之前，平行也是对比了好多品牌，最后还是选择了性价比较高的610公里续航哪吒Upro。几个月下来，整体还是很满意的！具体分享如下：
【空间表现】空间表现很赞！本来之前的油车空间就比较大，对比看，2770cm的轴距还真输给燃油车，尤其是后排，真的能带来超大乘坐空间体验，平时家庭出行三口人空间足够大，有时再加上父母一起，一家五口人也能从容坐得开。另外，内储物空间设置也挺人性化，无线充电、小U机器人等功能应有尽有。

【续航】电动汽车最重要的购车要素基本就是续航了，所以，我在买车时候，义无反顾就买最长续航的，就是现在的这辆610公里续航的探火版！我买车这几个月，赶巧经历了北京的冬天，每次用车，暖风是一定要开的，在这种情况下需要也能达到450公里左右，表现还是很满意的。近期，随着天气转暖，续航明显感觉续航更扎实、更耐用了，跑个500+一点问题也没有。这几个月，先后跑了好几次长途，都比较顺利，没有啥续航焦虑，跟开油车差不多。

【充电】厂家给每年赠送了2000度的哪吒加电权益，在我家附近停车场直接插上就可以享用抵扣，截止目前，这辆车跑了3100多公里了，充电成本几乎可以忽略，这可比之前那辆迈腾省太多太多啦！大大滴惊喜和赞！它的快充也蛮快的，年前去槐房万达，用那里的地下车库快充半小时一杯咖啡的功夫就快满了！另外，厂家还送了两年48次代客加电，足不出户就能有人过来帮我充电，还挺好玩挺大气的！综合来看吧，慢充，从快要没电到充满8个多小时。快充，一个小时，妥妥的。

【驾驶感受】座椅舒适度较好，对身体包裹性强，车机还可以记录你的坐姿习惯，按存档自动调整，坐姿做工精细，用料材质软，噪音小，驾乘舒适度很好。再说动力，转向精准，单踏板模式，电能高效回收，还可以调节回收档位，这个一开始开习惯了油车有点不太适应，不过是非常好的一个节能方式，动力分三种模式可供选择，可以非常强劲，我一般就选择舒适，比较适中，对我来说够用了，随踩随有，不用考虑动力不足问题。相比较，我老公喜欢用运动模式，可以有很明显的推背感，驾驶感受强烈。最后说下车机，360度全车影像，档位操作简单，小you智能机器人可以实现全双工连续语音交互，历史语义集成，尤其是导航系统非常好用，方便快捷，自动泊车，自动驾驶功能一应俱全，还能通过手机远程操控车辆启动和空调预热，冬天驾乘舒适度也大大提升了。

【保养】保养成本相比较之前的油车简直太低啦，到现在为止，就是到店里做过一些关于电池组和线路的检测，没花过一分钱。而且，后期按照要求即使做空调滤清，刹车液相关保养，价格在200至500元之间，跟油车相比便宜太多了。

【购车经历】之前也对各品牌电动车进行了筛选，看了特斯拉，小鹏，北汽，蔚来等品牌的车型，因为超高性价比和优秀的售后服务最终选择了哪咤汽车。我是在王四营的直营店购车的，整个购车过程顺畅，愉快，专属业务员效率非常高，现在顾客角度申请最大的折扣和买赠产品，购车办理手续处理的很成熟，避免车主走弯路，整个办理过程很省心。厂家还经常邀请车主参加各种线下活动，见证品牌成长，挺有人情味儿的！

【提车价格】15.68万，买的顶配，没有选装，因为这个价格横向比较起来已经很低了，哪咤被称作价格屠夫也是有道理的，没有什么砍价的空间也省了很多口舌！我们因为有旧车直接请销售帮着评估办理线上销售了，可以直接抵扣车款，我们支付余额也很便捷划算的。

【最不满意】但说实在的，美中不足，就是它的后备厢空间有点点小了，放三口的物品还行，人再多要放不下了，希望厂家能优化设计，再大一些会更好。",2022-03-23,北京,
云南小杨叔叔,"购车地点:云南腾冲。看抖Yin直接联系上去提车的，服务很好，比较满意。购车后给建立了个售后群。
车裸价:106800，现车提车。比指导价略高，商业保险我自己买。
赠品:有赠个充电桩，还有脚垫，车膜，950交强险，代办上牌（我自己给了230的费用，代办费没收我）
选牌:云MD17xxx
【空间表现】:后排空间很惊喜，虽然尾箱不大，应该够用。

【续航】买的400公里的，就跑了腾冲到潞江坝的高速，续航未有更深度的体验，后续补充。

【充电时间】还没体验，后续补充


【驾驶感受】毕竟是入门版，做工看着挺粗糙，另强烈建议后续的朋友买紫色的颜色，看车时候，有另外个车主开车来看到紫色点车，立马爱了 看起来很大器，比白色漂亮。车开起来感觉有点飘，不知道是不是因为方向盘轻的原因。小响比较多，最闹心的居然是安全带卡扣异响，只要车身晃动，就有响声，不知道是不是就我一个人这样，反馈售后群说让去店里里解决，应该是换个安全带扣，最近疫情期间，进出腾冲需要48小时核酸证明，比较麻烦，等后续找机会看，虽然问题没解决，但车处理的意见和态度很好。

【购车经历】本来还不着急买电动车的，计划等赛力斯的M5电动版或者极狐阿尔法S，或者林肯Z的纯电版。过年期间，自身的科鲁兹出问题了 停了几天，后面仔细盘算了下，先买个普通的电动车吧，网上几经对比，了解了哪吒（之前不了解，也没意向），后面自己研究了几天，懂车帝对比了下，决定买UPro。
开始意向是500续航的，问了几个地方都说要订车，后面刷抖yin刷到腾冲的车行，立马私信老板，说有二张现车，400低配和500高配。500高配的价格觉得性价比不高，改到400低配，现车是白色的。2月5号做了核酸，等结果出来，2月7号直奔车行提车。
订车后选号，然后给贴膜，当天好像车管所系统故障，没拿到行驶证，又着急回来，就把车子开着回来了，把身份证留给店里办手续。
现在是9号，12123后台提示下证成功，号牌还算可以D17xxx，大本和身份证合格证等邮寄给我。还是感谢下店里工作人员，另外，我身份证是云南省内异地，去腾冲车管所上牌也无需居住证暂住证之类的，给大家个定心丸。图三是店里的充电桩，赠给我的还没装，先拍个样式，到时我自行安装需要用到，店铺工作人员讲解充电桩安装也很用心，我听了个大概。
【总体评价】此车中规中矩，适合家用，建议颜色:紫色，价格也不高，适合我们普通人。我更希望开几年后换更精致的车型，提高自己生活质量。目前的经济来说，此车满意。",2022-02-09,保山,
黑猫开箱,"买这个小哪吒纯粹是因为对新能源感兴趣，想去了解一下。因为油价的增长和大街上越来越多的电动汽车。让我对他产生了浓浓的兴趣。所以在换车周期直接就选择新能源。
【空间表现】
这个车的给我第一感觉就是空间比较大。尤其是他的后座空间以及后备箱空间。除去一些外在的，然后他的后备箱下面还有一层。一般坐五个人一点也不拥挤。其次就是他的一些小储物格设计的也非常贴心。在车门旁边以及在中央扶手箱。可以放置手机。它里面还有无线充电，只要你手机有这个功能便可以无线充电，还是比较智能的。
【续航】
所有人对于电动车最在意的还是它的续航。一个车的续航扛不扛打，主要看他在冬天的续航里程到底有多少的衰减。这个车续航里程是600km的，在冬天差不多跑得到400左右。我也不知道这属不属于正常。但是在夏天的时候还是可以跑到560左右的。整体感觉还是有一点虚。
【充电时间】
这个车自带的有快充口以及慢充口。快充口也就是在外面380V的快充口，国家电网以及特来电都可以使用。充电时间可能在一个小时左右。慢充，也就是家里的充电桩。充满大概要一个晚上的时间。这边销售告诉我的是快充和慢充交叉使用。但是也没有太注意，因为快充比较方便，所以大多数还是使用的快充。
【最不满意】
其实整体来说还是都比较满意的，但是他有几个缺点，最大的就是他的a柱太厚了。非常挡视线。尤其是他的后视镜也有一点高，两个重合之后盲区就更大了。其次就是他的钥匙。设计的比较有风火轮的个性，但是一点也放不方便携带。而且他的钥匙电也不经用。

【购车经历】
刚开始在选择的时候主要做对比的也就是一个威马汽车。还有一个比亚迪。因为当时电动车已经被炒上一个高峰。所以基本上都要等车。而刚好这个车能入我眼，但是等待的时间也不是特别长。为了满足自己的好奇心，还是直接下定了这个车。
【提车价格】
在去年的时候，这个车的价格还没有涨价到这么贵。去年购车价是159800。加上保险加上牌费用，加上办金融，差不多16万左右吧。
【驾驶感受】
方向盘还是比较好操作的。轻轻的一带就可以了。但是我会发现掉头，他总要两把才能成功。可能是由于他的外形太大了吧。然后就是这个车在下雨天的时候要特别注意。非常容易打滑。抓地力不是特别好。其次就是这个车。在高速路上的音噪有一点大，但是他也有好的，尤其是他的氛围灯以及他的车内音响的音质都比较好。还有就是它的多功能大屏，应有尽有。看上去非常的高大上。
【动力表现】
其实一直存在一个误区，也就是人们对电动车没有力这个说法。刚开始我也是有疑虑的，但是随着时间的证明你会发现电动车的动力比燃油车还要大。上坡以及山路完全不是问题。",2022-07-08,宜昌,
BIGHAPPY,【空间表现】 整体空间跟宽敞，我1.78的身高，座椅完全可以调到腿伸直而不会过份挤压后排腿部空间 【续航】 昨天提车时满电，去车管所上牌来回25公里，再从店里开回家（24k纯新手第一次开车不习惯导航的播报，在高架上绕了很多路，）大概40公里晚高峰走走停停，55公里全程空调热风25度加外循环，新手没啥脚法，急加速急刹车，今早看巡航还剩353。 【充电时间】 暂时没去充电不好说，过几天找个快充桩试试 【最不满意】 4g网络有问题，车机无法联网，必须用手机热点才能使用。APP车辆定位偏差，显示的定位一直是他们厂的位置。售后说服务器有问题，定位也是需要4g流量，现在只能等恢复。售后还说有的u这几天提车都无法激活。。。离了大谱 销售专业度极差，最基本的问题都不清楚，哪吒难道没有岗前培训？ 给了上牌费，最后去上牌的几十块钱工本费和牌照快递费都是我自己付的，上牌费改为“上牌人工服务费”不更贴切？ 总之，车的硬件不错，软件差强人意，销售服务只能说态度不错 【购车经历】 没啥可说，看主页帖子，一波三折。最后还经论坛兄弟介绍找到抖音自媒体作者雷哥，这里感谢雷哥的大力帮助和协调，要不这个车年前能不能拿到怕是个大问题。。。。这点真是“佩服”哪吒 【提车价格】 21年12月下定，裸车12.98万，保险4547.36（后附报价图，大家可以参考一下），自己找的渠道贷款服务费500（相当于全款在店里买车），上牌500跟一个500天猫优惠抵掉就不算了，最后落地134847.36 【驾驶感受】 中车电机目前看来还行，舒适模式想超车基本也没啥难度，谁想加我的塞我就一脚电门灭掉他的希望。 转向比较轻，还算精准，就是车大（也有可能是我技术太渣。。。）进车库转弯不好转 【亮点配置】 开的时间太短不好说，配置都挺满意 自动泊车是个渣，一堆车位不识别非要识别个过道让我去停。。。 【动力表现】 超车妥妥的，随叫随到,2022-01-25,合肥,
哎呀！抽筋了,外观没的说，同价位第一，空间没的说也是第一，性价比我觉得无敌。 【续航】 还凑合中等吧， 【充电时间】 快充很快，慢充正常吧 【最不满意】 后备箱再大一点点就好了，别的没有。 【驾驶感受】 没开过好车，我觉得稳如老狗。 【购车经历】 一直在对比同款的竞品车，最后还是哪吒优惠最大，抖音上看了半个月直播，最后网上谈好价格交了定金（因为经常帮别人买大件还有在工商工作过的经历所以一点都不怕被骗或者其他），河南郑州提的车，全落地11冒个小头，只剩一台祥云紫了坐着火车就去提车了。早上六点半到的去吃了胡辣汤啥的就去店里等，过程很曲折因为是带牌过新车，一手牌车主不配合又要产生其他的车管所的费用，扯皮扯了半天，办手续半天，从早上六点半一直下午六点半才开车往回走，过程很曲折但是我挺满意这车的。回家六百多公里中途开110充了两次电。,2023-04-24,郑州,
药钥,坐标海南万宁，油车卖掉后，看了很多款，在荷包不厚的情况下，11.78车身价app订车，优惠2000.保险3900.全车办下来11.8左右.6月11日下定金，7月22日提车，提车回来一周多。驾驶感不错。平常开高速加国道和市区上下班通勤一天要60公里来回。满电前200挺实。后200虚。整个下来350左右，一级节能。因为买的是入门级400公里续航的。没有用啥功能。后续有心得在发表。因为才跑了800多公里。感受不深。刹车偏软，其他还好。羊毛出在羊身上，这种价格的新能源suv.还想要啥自行车。,2022-08-05,海口,
