字段1_文本,字段2,时间,字段3,时间1
乐观的叶子TDR,【最满意】 最满意的是操控和外观了，上市之前已经关注了很久，试驾过同级别的车，目前很满意。 【最不满意】 也不算最不满意的，被大家吐槽很多的中控部，太简漏了。没有SUV该有的布局。 【乘坐体验】 后排空间同级别很好，我是从本田CRV转过来的，比CRV后排要大一点，但是后背有点直，长途的话放个靠枕也还好。 【保养】 这车应该不用怎么保养，又不要换机油。 【续航】 孩子刚出生之后置换的，基本上都在市区跑，偶尔去趟邻近城市，来回两三百公里，目前开了3501多公里，百公里12.4kwh，最低跑到了10.6kwh从来没焦虑过续航担忧。,2023-10-29,乐山,
哥哥家庭教师,【舒适性】 开着也还行，坐在后面比前面舒服，座椅包裹性不错，座椅很柔软，坐上去我的大屁股全部被座椅包裹了。 【智能化】 这个就不太行了，自带的车机智能只能简单听听音乐，其他基本没啥大用处。 【续航】 续航能耗有点高，随便开开暖气就要16kwh，还一直往上升的状态，东北现在的天气，我有点担心续航不够了。 【最不满意】 充电麻烦，续航公里不够用，三天两回充一次电，没电要到处找充电地方，充电还是慢充，在国家电网充电一次从0到满要好几个小时多。,2023-11-04,抚顺,
阿卡玛图啊,【购车经历】 家里本来是有一辆油车的，因为上下班通勤要60公里，想着就是开不到，也可以给父母开着买菜接送孩子用，刚出来这款就买了，现在想想还是买早了！缤果妥妥背刺… 【充电】 厂家赠送充电桩的，就直接在老家安装了，充电很方便，不用到处排队去充电了，每天下班回家就可以给爱车充电。 【空间表现】 空间有点挤头，我190身高，体重183斤的大胖子，头发已经碰放车顶了，屁股要往下面坐一点，头部才有1拳的空间。 【舒适性】 我坐着很不舒服，可能是我个子太高了蜷缩着不舒服。个子矮一点的话应该会舒适一点，他的座椅还是比较软的。 【续航】 平时用的最多就是运动模式，15度的天气百公里电耗在16个左右，满电只能跑590左右，官方宣称的623公里，根本跑不到，续航有点虚标吧。,2023-10-30,开封,
让人X,"充满电跑的话，开空调是60公里左右，标准能耗11.0kwh，另外和你是否深踩油门和急刹有关，踩的重能耗高。我不喜欢大脚开车，我喜欢温柔佛系一点的开车。

另外就是充电口的问题，我这地方没有快充，每次充电要充好几个小时，我的可以在车身睡一觉了。

总续航也很给力，百分之11的电量能跑53公里，但我一般跑只剩40公里左右就充电了，不敢一次性跑完，最后这40公里是我最后的保障，万一路上趴窝了就麻烦了。",2023-11-12,抚州,
有一会没有,外观：我觉得挺好看的，大灯犀利，流线型车身，风阻低，侧面像运动SUV车型 内饰：看人吧，刚开始有点不习惯，看久了就还好。 配置：该有的都有，属于中规中矩。 空间：可能是流线型车身，后排头部空间比较拘束 续航：打个七八折吧，百公里要17.6kwh。 智能化：比不上遥遥领先，属于够用。 驾驶感受：艾睿雅底盘说运动吧，我感觉是有点软，急转弯支撑还是可以的，应付特殊情况很有信心 不满意：方向盘偏右，4S店调了半天，还是有点，空调出风口异响，大毛病没有，小毛病有点，有点招架不住。,2023-12-16,威海,
梦想启航我,第一次见小胖三外观一眼就相中了，内饰真的很中规中矩，跟国产电车相比内饰差太多了。 【空间表现】 前后排空间都不错，但是后排座椅好直啊，坐久了难受，不过我用车基本没人坐后面。 【最不满意】 全系好像都没有手机互射，这个我觉得该标配的。 【续航】 续航显示是动态的，感觉续航还是比较真实的。这里我不是很清楚是根据历史行驶电耗还是本次行驶电耗来预估剩余电量的行驶里程的。一个人不开空调市区跑12个多电耗，两个人14个多点，要是开空调的话16到18个左右。,2023-10-29,柳州,
普通的NB,"提车一个月，已经行驶了快3000公里，驾驶质感无敌，同时又节省了不少银子。

说回日常，提车回本地时候，全程高速530公里，赶夜路再加上大暴雨，肉眼看不清路面，有L2辅助驾驶，只要我放慢车速晚上下大雨开车也不怕。
全程空调21度加110公里全速自适应巡航，总共进了两次服务区，充电半个小时搞定，去个厕所倒杯水，时间很快就过去了。日常通勤每天50公里左右，市区快速路各一半，这个电耗很满意，到冬天为了避免焦虑也应该就是两天一充。都说刹车不行，我倒是觉得还好，主要开的慢。总体来说很好，很省，非常符合一个通勤车的需求。",2023-10-28,北海,
爱生活的火车wDF,外观中规中矩，内饰中等还算过的去，隔音效果一般，表面车漆看着亮度不够，感觉没有清漆一样，比较普通。 驾驶感觉我觉得还可以，动力感受还行，还要配置丰富，跟特斯拉毛豆Y相差不大。,,沈阳,2023-12-06
南京情报员,外观帅气没得说，颜值担当。内饰不是很豪华但挺精致，底盘稳重，操控一流。新车上路第一箱电耗稍高，导致续航没达到预期，还没练出来黄金右脚饿。车机够用，当然比新势力的差一些，但我却不看重这点。车是用来给人开的，不是让电脑开的。,2023-12-15,南京,
刚刚vv三国杀,"我喜欢开电车，开起来很安静，没有发动机的轰轰声。外观比油车好看。最大的优势就是比油车省钱，拿下了驾驶证就开了艾睿雅。我上下班来回60公里的路程，开这车绝对省钱。91%的电量能跑个629公里，比官方宣传的还要多。在东北天气冷续航打8-9折吧。

现在我开多了才发现一些小问题，充电枪没有电子锁，整天被拔，在东北等的难受。",2023-10-30,广元,
后悔他天天在家,"这是一款比较年轻时尚的纯电车型，颜值担当可靠。内部空间感很足，续航也很稳定，满电续航能跑766公里，不知道是不是出BUG了，比官方宣称多出100多公里要是真的能跑766公里，开这车完全没有续航焦虑。

缺点
是内饰相对平庸以及车机系统不怎么好，容易卡屏。",2023-10-27,聊城,
酥铀叫拖猎蹦on,车辆帅，快，豪，稳，驾驶感一流，配置丰富，舒适性一流，空间紧凑型无敌，比一般普通车大，最大的短板就是车机辅助驾驶包括钥匙，手机竟然不能当钥匙使用，有时候出门忘记带车钥匙，后去拿钥匙就很麻烦了，最大的遗憾就是车没有对外放电功能。想在外面搞野外烧烤的是个难题。,2023-11-16,曲靖,
丰富FH,1．外观个人比较喜欢 2．内饰也是喜欢的类型 3．配置很丰富，虽然用得不多 4．后排空间局促了一点 5．纯电上下班没得问题，一个星期一充 6．车子很好开.,,襄阳,2023-12-16
删泌匝苟级醚vQ,【驾驶感受】 驾驶感也很顶高速上一点不飘，底盘很扎实开起来很有信心。 【最不满意】 配置高，有360全景，但360全景模糊，不清晰。从图片可以看出。 【续航】。 续航高速比市区要棒，高速上基本上510左右可以开的到，市区也就520左右，稍微激烈点驾驶的话500可能都开不到，希望后期有长续航版本,2023-11-17,濮阳,
啊哈双吧啊,【优点】外观大气，气场很足，从图可以看出艾睿雅跟旁边的奔驰对比气场毫不逊色，但内饰比较平庸，内饰跟奔驰肯定没法比，但也还算看过的去吧。 驾驶起来感觉我觉得还可以，动力感受很足，电车速度提起来果然很轻松，起步比我弟弟的奔驰提速更有劲，推背感比较强烈。 【缺点】隔音效果一般般吧，车漆也比较薄，这应该是日系车的通病！！！,2023-11-06,雅安,
坦坦荡荡ll12,"不错的代步小车，空间比想象的大，配置比所以的日产车高的一款，舒适性也是最舒服的，电车平顺性很高，最惊喜的地方在于音响音质居然挺不错的。目前没遇见网友说音频共振的情况。 

艾睿雅是真的会讨好用户群体的，连个备胎一也舍不得给，万一真的在高速上爆胎就等着趴窝吧",2023-11-14,揭阳,
你在酒店姐夫,外观漂亮大气，车灯点亮很有特色，很具有攻击性感觉。空间挺大的，后面坐四个成年人也没问题。续航不错，不用担心续航不够，也能跑616左右。关键是省钱，就是配置太低，连360全景都没有，只有尾后有倒车影像，没有电动尾门开关功能，方向盘转向手感粗糙，比其他suv转向稍重点！高速公路跑140码很轻松，提速均匀，起步没有顿挫感，开着平顺性很好，妥妥的保姆级别车。,2023-11-05,清远,
BL揉揉,【空间表现】 空间上那可谓是相当够用、后排我的可以半躺了。 【舒适性】 座椅舒适柔软、密封性和细节上绝对要比燃油车的要好、启动没一点声音，要不是看着仪表盘灯亮了，我的不知道已经启动了，很安静。 【最不满意】 20多万的车、内饰做工的很粗糙，中控台的缝隙有点宽，很影响美观。,2023-11-06,随州,
脸皮要厚老婆大人,空间感觉还行，就是后备箱应该是有电池组的原因，空间小了点，还有这车没有备胎有点说不过去........如果充电方便的话确实相当省钱。座椅还是蛮舒服的，护腰那一块不是很好，有点硬！！！体验感不是很完美。,2023-11-07,揭阳,
回复湖里大道争锋,以前开的冒险家，一个月1200-1400的油钱，跑的比较多，家里还有一个油车，就有换购电车的想法，本地就一个4s店，提车的上午卖掉冒险家，下午就提了600 plus，到现在900多公里，电车动力果然比油车要有劲，轻轻一踩车子就往前窜。续航还是比较接近的，不要暴力驾驶，可以超过610续航。内饰是我比较烦躁的地方，不过看了一周多，也比较习惯了，储物格太少，中央扶手储物太小了。,2023-12-16,沈阳,
小姨钱包,【最不满意】 没有外放电功能 【购车经历】 在淄博提的车，比济宁便宜7000， 【驾驶感受】 非常好开，开起来可以说指哪打哪，车内很安静，摆脱了油车的排气管的轰轰声，还有点不习惯。 【续航】 只要不开空调，跑600以上没问题。,2023-10-29,淄博,
欺骗自己做饭,后排中部是纯平的，在紧凑型空间算大的。 功能也比较多，360影像，车道保持…市区通勤纯电跑，省钱。 比较介意的是风噪音大，高速上风噪最明显，风噪全从底盘处传进来。智能化只能说鸡肋，车机系统落后，跟老年机一样，反应慢，没有一点科技感可言。,2023-11-03,石家庄,
日常日产,【舒适性】 对于紧凑型 SUV 来说，座椅算是舒服的。但是跟轿车相比，在高速上轿车会舒服些。不过一般上下班都还可以。 【智能化】 这个只能说一般般，基本够用，相对于国产肯定比不上的。 【驾驶感受】 低于100速还可以，超过100各种噪音。但是在接受范围。,2023-11-05,铜川,
用户292116500436,"【购车经历】
本来想入手天籁，4S问了一下价格优惠不太合适，展厅一眼看到艾睿雅，上去试了试，别看车身没天籁长，内部空间比天籁大，问了问销售经理应该有任务吧，恨不得立马就提车，服务那是真的好，最后还试驾了一下满意，可惜当时价格没谈拢

【提车价格】
当地6家日产4S直接过去报出心里价位，最终一家满足了我心里价位展车直接提，22年9月第的车，厂家补贴6个，4S额外补贴几个，日产老车主还有10W保客积分相当于一个，可以积分商城换充电桩，保险6K，这款车厂家直营的每个4S都有任务，多问几家价格大胆一点，或许就成了

【驾驶感受】
座椅不管前排后排那是没话说舒适，别看车身4米6，内部空间后排空间比4米9天籁还大，空间足够，动力方面标准模式相较于经济模式电门没那么重轻松很多比较适合我，这车真的很重转弯还是很稳的，开起来很像油车完全没有晕车的感觉，对比特斯拉至少直接能上手不用去适应它，动力回收开启以后D档弱一下B挡强一些没有特斯拉那么猛，

【续航】
市区通勤会上高架一般电量11个左右，开空调15个，600续航完全没有问题，厂家没有虚标

【亮点配置】
开了导航以后，抬头显示，仪表屏，中控台全部显示非常方便，变道辅助也比较实用，L2辅助驾驶自适应巡航，车道保持还行，前面有车加塞会自动减速脱离自动驾驶，护手可以电动推后方便过副驾驶下车好评，车机功能比较简单实用不像新势力多样，车子暂时没出现什么毛病

车机语音识别速度比较慢，360清晰度一般够用，晚上比较模糊，但是为啥看不到左侧前轮影像，这边过窄道有点慌嘿嘿！
可能有人说我是韭菜，大冤种，这些天开下来个人还是很满意的，除了新能源方面品牌可能差点，家用市区开开舒适度，续航，安全系数比其他新能源好很多，日产厂家还是很重视这款车的，艾睿雅车主都有单独的服务群
这车优惠过后价格还行，配置良心用料扎实对得起这个价，车绝对是好车，这次我为日产艾睿雅站队",2023-04-17,赣州,
何风云何,外观非常好看，买车的时候对比了毛豆Y，唐，丰田验证码，还是觉得ariya最好看，不喜欢车顶行李架，所以选了最低配，感觉和更运动一些。灰色很漂亮，就是不太耐脏，白色黑顶才是yyds，不过家里有一辆白车，就算了。 内饰选的暖白色，有高级感，中间扶手箱设计很有想法。 配置很丰富，方向盘加热，前后排座椅加热，倒车后视镜下翻，l2级驾驶辅助等，走的都有了。 空间相对于4.6的车长来说做的很好，横向宽度很好，后排纯平地台，座椅超级舒服，就是白色不太容易打理，需要买个坐垫。后排座椅放倒就是个床。官网有卖专用自动充气床垫，不贵，打算入手一个自驾游用。 提车是三月，西安天气适中，早晚比较凉，我用车也是早晚上下班，不堵车的花电耗11-12，堵车15-16，没开空调，只开了座椅加热和方向盘加热，对于这么大个车来说很不错了。4s店的试驾车我看也就15- 16，何况他们都是暴力驾驶，所以续航这块做的还是很厚道的。 智能化比传统油车强，功能还没总透，等熟悉了再说。 驾驶感受非常好，动能回收力度可调，舒适模式跟油车没差别，可以无缝衔接，标准模式现在也适应了。带单踏板模式，我不喜欢，可以关掉，比毛豆强。虑振很好，大小振动处理得干净利落，过减速带很舒服。高速转弯驾驶位侧倾抑制不错，不会感觉软趴趴。隔音不用说李，非常好。 总结:去年上市的时候就去看了，不过指导价太贵，没有入手，今年优惠六七万，真香啊。家里有油车，所以选个纯电的，单位是西部某985，对毛豆车有限制，比亚迪在西安太常见了，像开网约车的。喜欢的朋友可以去店里试试，买车不用跟风，适合自己的才是最好的。,2023-03-16,西安,
鼓捣尔,开了一段时间了，总体说一下感受：外观短粗精悍，照片比实车好看，有人说像楼兰，有点道理，原来有一部2019款楼兰，感觉侧面颜值比楼兰差点。试驾时看实车不如照片好看，且驾驶位感觉压抑（后来分析是自己习惯性造成），看内部空间良好，毕竟车宽是1900级别，还是平地板，在坐人上不输给一般中型SUV，后备箱因为车长限制确实空间一般。方向盘加热和全座椅电加热这个非常好，华北地区用着太舒服了。大电池放心用，技术日产值得信赖。自动驾驶功能够用省心，尤其高速上，非常轻松。顶配抬头hub人机体验好。买的2驱驾驶感确实不如4驱，之前是发现运动，确实没有那种操控自如感，尤其雨雪天气更甚。且2驱顶配竟然没有bose音响，这点差评。综合来说，是个不错的车。关键是：家有充电桩，平均0.1元每公里，之前加满一箱油400多块跑不了400公里，现在充电40块跑400公里以上，实为家里第二辆车之推荐。现在经济处于求稳阶段，中央都定调要稳中求进、以进促稳定、先立后破。最近三两年，老板们都把豪车放在车库里开小电电跑工地，大咖们也把油车卖了换了某增程满京城里跑，他们的这种务实做法值得我们思考，冷暖自知的我们更要树立正确的消费观，30万的艾睿雅全是问题，20万的艾睿雅优点多多，18万艾睿雅真香。,2023-12-11,北京,
Crojone,"3月初提的车，当时出了6万的优惠政策，又有免息贷款，还有保客的十万积分。综合算下来，虽然没有终身质保，觉得价格也差不多了，就立马下定签合同购车了。

1.提车  作为一个日产的老车主来讲，提车是给了我一个大大的惊喜，看得出厂家下了很大的功夫的。不仅有车辆动态通知，车辆到店下板车的视频，交车仪式，鲜花，礼花，交车小视频，还有车辆的讲解。都让我感觉到了Ariya车主的不一样，很是受用。

2. 外观，买的黑外黑内感觉很酷，毕竟不加价的就那两个颜色。其实灰色也很好看，但是就是不想跟别人一样。内饰主要家里有了小孩，黑色耐脏。

3.车机  车机所能实现的功能不多，但是流畅性非常好，导航启动也很快，导航也很用。平时也就用用导航，听听歌和书，对于我来讲完全够用，也用不着太多其他功能。

4.操控  车本身开起来还是很舒服的。有可能是SUV和轿车的区别，感觉还是没有天籁那么流畅，尤其是转弯的时候，不知道是不是跟车身高有关系。转弯有侧倾，但也不是很严重。

5. 隔音  这个很赞，在柏油马路上行驶，基本没有啥声音，而且感觉也很丝滑，像德芙一样。听说轮胎里面都有隔音棉，厂家还是很厚到的。行驶速度高了，就会有胎噪了。

6.续航  对于续航来讲，刚开始有点不太适应，后面慢慢摸清了这个车的特点，基本市区通勤都可以控制在13左右，就算这个清明节，90%的电跑高速也跑了近500公里。一直开的经济模式，加速感也没有很快，但是也完全够用，所以也没有其他电车晕车的感觉。高速加速120往上响应也挺不错的。

7.其他 L2.5的辅助驾驶非常方便，高速经常小蓝点。HUD完全够用。

除了优点，还是有要吐槽的。

第一就是悬架太软，刹车的时候会点头，车子停了还会摇一摇，有些人会觉得不习惯。不过听说已经在改善了，希望改善后不要牺舒适性。

第二就是转向拨杆，感觉没有明显的界限，往左边打了，往右回拨很容易打到右转向，反过来同理。很不方便。",2023-04-08,广州,
喝酒不上路,"【购车经历】
12月中旬购买的2驱顶配

当时想看别的车，后来试驾Ariya过后就定了。
主要是老婆不喜欢油车，嫌弃味道大。

【提车价格】
当时补贴4万，比现在补贴少2万，后续官方补贴了5万积分和一个官方价值4000左右的交流放电机。也没觉亏啥。3电质保权益还在。
【驾驶感受】
说实话油车也没开几年，而且还是小排量的K-car。对比ariya 动力，空间，舒适程度没太好比较的。😂之前试驾奔驰和奥迪的自动驾驶技术，感觉差别没差太多，就是ariya 的自动换车道感觉要反应慢一些。
【最不满意】
提车半年，大毛病没有，小毛病一堆。(至少K-car也没这么多毛病，当然可能跟电子器件多少有关)
1:后视镜小电机，半年来发生过6次，缩退或者展开不了的小毛病，用手掰开到正确位置后会恢复正常。目测小电机的毛病，至少日产k-car也是同样的毛病。

2:胎压检测系统出错，无法检测到左前胎胎压，其他3个胎胎压检测正常。放置2天后恢复正常。推测可能跟外界温度过低有关。这个提车半年只发生过一次

3 倒车影像花屏。重启车后恢复正常。频率提车半年只发生过一次。没有故障码

4最离谱的来了，洗车把ariya标洗掉了。用毛巾擦拭水时，把标擦掉了(图4).联系4S后，解释因为收到外力导致，所以不进行赔付，后面自费买标贴好了。😂钱不多，对这个事的解释和处理方式不是很赞同。洗车都能掉，品质保证表示不理解。

5：后尾箱液压杆鼓掌。5月时候突然发现后尾箱的自动开关失灵，去4S检测，DTC报错，左液压杆失效。4S店安排处理下单，一星期后件到更换完后解决问题。这个对应挺迅速的，没有什么好吐槽的。


满意的地方

售后有专门的微信对应群，能很准时安排做一些车的用法和维护安排。
😂还有就是车的销量真的有点那啥，至今在路上没有看到一位车友。算是回头率比较高吧。
5月检修听说市内只有5台ariya 😂

【续航】
坐标东北。
冬天450KM
现在580KM

都是动态续航，从来没有跑空过，看续航都挺准的。足够日常出行和周边旅行。没有什么不满，充电频率基本一周一次，一次1个到2个小时。",2023-06-07,大连,
