字段1_文本,字段1_链接,字段2,时间,字段3,时间1
用户4614899882779,https://www.dongchedi.com/user/2805605269265336,就想选一辆中规中矩的车，超车还算快，也算省油，据说安全性也还不错，就是噪音可能有点大，不过应该是suv的通病吧，其实看上的也是suv的大空间，不顶脑袋很宽敞，一般日均50km，一天一充也还行，等有了私人充电桩会更省,2022-08-21,天津,
厨师顾问陆厨,https://www.dongchedi.com/user/3773143073690624,"还可以 先开开在 来来评论空间小 主要是送上海绿牌 提车还是顺利的 
【亮点配置】
上海限行 
资料比较麻烦其他还好
后面


【提车价格】
256800 ＋2000颜色 2000上牌2000 （装5000（保险6038）3000元六次保养
提车较快4天提车
（行车记录仪1500 雷达1000）（总的到手280388）
【动力表现】
轻松200码


【保养】
3000元六次到到店养
上海需要买车的小伙伴可以一起交流
我注册公司购买
所以比较轻松一点

【亮点配置】
配置好多都没
就慢慢加钱装吧
努力赚钱 加油吧 
加了积分 就随便扁马吧
需要了解的可以私聊
 上海现在畅通无阻了 
不怕限行的",2021-06-16,上海,
真情实景79,https://www.dongchedi.com/user/958388925640269,车子外观比较大气，配置在这个价位还是很不错的，唯一不满意的是光有360影像，没有雷达不是很习惯。这车在市区日常通勤用纯电很经济实惠。后尾门有点重，女司机开启有点费力，高配的话没有这方面的困扰。中配建议后期加装一个电尾门。,2021-09-12,漯河,
球状也是身材spf,https://www.dongchedi.com/user/106536603211,E+动力充沛，油门随叫随到，超车给人极强的信心。纯电模式非常安静，如果不是车在动，完全感觉不到它的动静。外观大气，细节考虑的周到，尾箱容积很大，出去郊游可以搭载很多物资，220v交流电源是最大的亮点，长途旅行用电方便多了。提车一天，加了半箱油，但基本使用EV模式，没有用一滴油，如果考虑每天充电，运行费用基本可以忽略不计，就是买车有点小贵，考虑到丰田的品牌价值和上绿牌可以省购置税，基本上比混动顶配多两万块左右，但是动力提升明显和纯电模式的驾驶感受和后期使用的经济性，另外还有一些配置上的提升，如果预算充沛的话完全可以考虑，毕竟这个世界上只有丰田的活动和其他混动之分。内饰一如既往的节约成本，车机系统和背投大电视一直是最大的槽点，只能用不吸引注意力确保行车安全来慰藉自己。爱面子的基本可以不用考虑了，但完全不妨碍它是一辆好车，每个人对车的需求不一样，反正它能满足我对一辆家用suv的所有需求。,2022-04-24,宜昌,
Lee,https://www.dongchedi.com/user/73893226219,没有carplay，没有carlife，后期加只能更换全部车机。更换车机很贵的。整体来说动力可以，光是纯电的动力已经很好了。油的动力也非常好。空间可以。刹车偏软。前段没什么反应。后段刹车还可以，所以有时候会刹的比较猛，注意力要集中。最主要的优点还是省了油钱，开了半个月，油表还是满的。充电比较不太好，没有快充。充满要半夜了。纯电充满电现实续航里程81km，没开空调什么都没开，不知道什么原因，官方宣传是95km。切到油的时候，满油续航里程是900公里。但是怠速1分钟，还没开，续航里程居然掉了2km，油的续航里程明显不准确。号称是一箱油能开1100多公里。这个肯定要打折，但是具体打几折要开一下才知道。,2022-01-12,上海,
只若初見35,https://www.dongchedi.com/user/50418955703,车刚拿到两周，油耗确实是越开越省，我自己的驾驶习惯属于比较平稳，但是插混车动力比较好，加速超车确实很快，高速还没怎么开过，但是90以上隔音效果就比较一般了。 再说内饰跟车机系统，只能说丰田确实很抠，像15年前车的内饰，车机系统也不是很好用，还有一些细节中配没有电尾门，没有后视镜加热。只能安慰自己买丰田就是图发动机保值吧，经济省油吧，现在加油这么贵，插混还是很香的。,2022-06-09,西安,
用户8405162818788,https://www.dongchedi.com/user/2269837561430380,外观方面继承了rav4一贯的风格，中网的改款造型和线条的细节改变真的很硬派（肌肉小公主）。内饰方面整体感受还好但是塑料感还是过重了，有些设计手能摸到的地方是软包，但是部分体型庞大的人摸到的塑料区比较多，比如主驾车窗下沿。配置方面360高糊、没有雷达！没有雷达！！没有雷达！！！（扎心，360感受很差）。空间好评，没什么可说的，威兰达 油版小公主前排后排都一样，后备箱感受是不一样的。续航表现好评，满电100公里16块钱左右、亏电100公里48块钱左右。智能化一言难尽，语音反应慢，复古版车机。综合感受挺好 暂时650公里使用感受，后续使用再说喽,2022-09-04,长治,
斯派莎克阀门广州,https://www.dongchedi.com/user/110540442547,刚刚提车感觉还行，就是丰田的抠门很多普通配置都没有，导航什么功能都没有，油耗还有动力感觉都行。像一些很普通，很常见的配置，丰田都没有，真的很抠门。像行李架，脚踏特别是那中控导航，啥功能都没有。,2022-01-14,广州,
用户8802519333042,https://www.dongchedi.com/user/4116183091518029,相比官方数据有惊喜，标注纯电模式95公里，实际第一次充满显示69公里，实际行驶了90公里 第二次充电显示71公里，实际行驶了96公里 第三次充满电显示72公里，实际行驶了99公里 这也许是冬天没有开冷气和驾驶习惯有关系，整体运动舒适度还比较满意,2022-01-25,广州,
观海听涛看天下,https://www.dongchedi.com/user/1713463615,【空间表现】 空间非常大，家用绰绰有余。 【油耗】 用油百公里5.5升。用电百公里9块钱。 【最不满意】 多媒体功能少，样子丑。比国产车差三个档次。 【驾驶感受】 非常棒，提速特别快。噪音控制的也可以。 【乘坐体验】 乘坐过的人都说不错。 【销售态度】 销售态度好。有问必答，很有耐心。,2022-02-26,银川,
古都秦风,https://www.dongchedi.com/user/505364263211309,【空间表现】 一般 【油耗】 非常满意！！！油耗不是一般的低，纯油模式市区4-5个油，超级混动模式电耗15.3，模式纯电续航由刚提车不到70逐步提升到95了，其实我感觉真实续航应该有98，因为一般是开到三四公里后续航里程才开始下降，算是意外的惊喜吧！ 【驾驶感受】 很平顺，指向很准 【动力表现】 提升很快，市内超车杠杠的,2022-03-15,西安,
高转青年,https://www.dongchedi.com/user/3997467542552628,"【最满意】即便这是一款倾向于强调经济性表现的车型，但它依然能为驾驶员带来平顺、有条不紊且动力储备充足的驾驶体验，而且得益于电机的参与，发动机噪音也显得更弱了。

【最不满意】该车悬架支撑性一般，路感也算不上有多清晰，它终究是个适合通勤的家用SUV。

【驾驶感受】配备2.5L发动机的荣放双擎E+能为驾驶员带来不错的提速感受，，对于一款家用SUV而言，动力储备够充足，而且动力输出属于循序渐进的类型，乘客会更容易接受。0-100km/h加速时间仅为7.4s。车头响应比较灵活，似乎开起来还挺好玩的。

【乘坐体验】RAV4荣放双擎E+后排乘客头顶是有上凹设计的，所以身高180cm的体验者仍有一拳两指的后排头部空间。另外从测量的车内空间数据来看，RAV4荣放双擎E+的后排座垫高度比燃油版车型也降低了50mm。",,,2023-01-09
玩车报告,https://www.dongchedi.com/user/99436225486,"【最满意】整车外形高大霸气，尤其配上米兰卡其色车身，很有户外越野的风格，尤其前脸车标格部分的有点垂直地面的设计，很有特色，加上整车各个菱角分明的处理，很有力量、很有个性的感觉。

【驾驶感受】开起来和威兰达很像，方向盘和油门的反应都比较灵敏，在城市或高速路上开都算是很轻松，只有刹车给人感觉有点肉，不是特别及时的感觉。

【最不满意】这个价位丰田的内饰还是像上一代的产品，而且中控大屏立在中间感觉有点遮挡视线，而且25万左右了，倒车影像还特别模糊，清晰度比不上十几万的车，这真有点说不过去了。",,,2022-10-13
凉州曹劲,https://www.dongchedi.com/user/110331212024,300多匹马力，开起来很随意。车身比较车左右晃动感略明显。刹车与传统汽油车脚感不同，习惯后就好了。就车子本身而言，还是可以的。高速动力很充沛，比大多数插混更有驾驶感，低速也没有传统燃油车的顿挫和抖动。等换代车型出来，继续换,2023-02-18,上海,
爷爷泡的土茅台,https://www.dongchedi.com/user/4664752392,配置太低，20多万的车，锁车后视镜自动折叠与关窗没有，行车记录仪没有，副驾驶自动座椅没有，哎,,南宁,2024-01-16
汽车网评,https://www.dongchedi.com/user/3335465294,【最满意】 车子的外形以及空间都是比较满意的，家用车还是会比较看重空间，这车子的空间还是可以满足我们家的出行需求的，即使是长途出行也是可以满足的，这一点还是比较优秀的，再也不需要担心一大家子的出行。 【驾驶感受】 动力也是比较足够的了，即使是想要追求刺激也是可以的了，只要你舍得给油动力就会给你响应。操控也还是比较简单比较顺滑的，不需要担心小白hold不住。,,,2022-06-23
辣些车事,https://www.dongchedi.com/user/68490609122,RAV4 荣放双擎E+外观与燃油版没有什么区别，非常硬朗和粗犷。只是细节有些许变化，比如车标内融入了蓝色元素，前唇造型也稍有区别，车身侧面和尾部增加了混动标识。内饰与燃油与燃油什么区别，材质质感还不错，但是豪华感科技感谈不上。配置还是比较丰富的，尤其是安全配置方面算得上同级最强。操控层面由于有纯电模式提速这些很爽，即使亏电的时候，2.5L双擎的动力也很充沛，且驾驶质感很顺滑，没有什么噪音。,,,2021-06-03
玩车报告,https://www.dongchedi.com/user/99436225486,"作为“日系三剑客”之一，RAV4荣放在市场中的地位可谓有目共睹，在国内汽车市场种的表现亦是不俗，今天玩车弟和大家聊聊它的双擎版。
      荣放双擎E+看起来跟之前的燃油版差别不大，只在细节上有些许变化。比如在前保险杠处新增了镀珞饰版，进气格栅处使用了黑色的蜂窝状格栅，同时大灯也升级为了LED日行灯，另外还在尾部和两侧翼子板位置处，标明了自己插混的身份。
      当然，它最大的变化还是动力性能上的。双擎版搭载的是2.5L发动机+永磁同步电机组成的混动系统，系统综合功率为194kW，性能表现有所提升。底盘总体的调校以舒适为主，作为一款家用SUV来说，这一点比较容易理解。另外，两驱版搭载的的是高容量锂电池，纯电续航里程为95公里，当然双擎主要的优势并不在续航，而是低油耗。
      综合以上来看，大家觉得RAV4荣放双擎E+能否延续着荣放在市场中的胜势呢？欢迎评论区留言讨论。",,,2022-05-07
村里的书匠,https://www.dongchedi.com/user/3403678549541598,荣放米兰卡其色的这一款个人真的是爱了，就是SUV该有的样子，颜色很低调大气又很个性化，略带一点古瓷器的感觉，优雅内敛。值得一提的是双擎真滴很适合上班路二三十公里单程的兄弟姐妹们，双擎的省油真的没的说，最低跑到过4.7个油，一般5.2个左右。上下班来回50公里原来燃油车差不多需要每周加油，现在十来天加一次。真的很舒服。内饰设计上比起现在新兴的很多国产车型漂亮前卫的设计来说，丰田的车真的是有点不思进取的感觉，但是用久了就会发现一切刚刚好，没那么花哨，够用就好，后排空间上个人觉得还可以更大一下。,,,2021-06-03
线外邦,https://www.dongchedi.com/user/51866200093,"在合资插电式混合动力车型中，荣放双擎E+算得上一款很好的车，因为丰田急了。由于新能源双积分政策的持续深入，燃油车销量巨大，但新能源车效率很低的丰田必然面临巨大的新能源负分的问题。而丰田在纯电动车方面的技术实力一般，此前推出的纯电车型和插电式混动车型也不是很受市场认可，在这个关键的时刻，荣放双擎E+可以说是被丰田寄予了厚望。

基于荣放双擎打造，荣放双擎E+在很多方面都进行了升级。尤其是纯电续航里程，同级别的大多数车型都只图能够达标，大多都刚刚超过50km，而荣放双擎E+三个配置的最高纯电续航里程有95km，最低的四驱版也有87km，对于插电式混动车型来说，这样的续航里程基本能够满足一天通勤的需求。

更为重要的是，它升级了性能。以前的荣放双擎的动力很弱，开起来没有丝毫的驾驶激情可言，但荣放双擎E+提升巨大，四驱车型的百公里加速时间直接提升到7.4秒，跟其他车型的2.0T发动机属于同一个水平。同时，丰田也优化了这辆车的操控，让它开起来也有了一定的驾驶乐趣，能够抓住一些年轻人的心。毕竟这么贵的插电式混动车型，大概率还是给那些限牌城市的消费者准备的，如果年轻人不喜欢，那么这款车肯定卖不好。

对于它的升级也是较为彻底了，丰田也知道之前的荣放内饰质感也很粗糙，所以新的荣放双擎E+在内饰方面也有了一定的提升。毕竟定价都已经来到30万了，为了让车主对身边的朋友有个解释，这也是必须的升级。

升级之后的荣放双擎E+在同级别车型中其实挺有竞争力的。主要就体现在续航里程更长，动力性能也不错，开起来也蛮有乐趣。再加上它丰田的身份，性价比很高。

但问题在于，谁会需要买一辆合资的插电式混动的车呢？如果要买插电式混动，大把优秀的国产车型都可以选，不仅性能更强，而且价格更便宜，如果喜欢高性能的新能源车，买车纯电动车应该是更好的选择。

所以荣放双擎E+的定位实际上很尴尬，我的意见是不值得购买。",,,2021-04-28
齐宇时间,https://www.dongchedi.com/user/5369158887,RAV4荣放双擎E+具备三种动力模式，分别是纯电、混动和自动切换；而驾驶模式同样有三个选择：ECO节能、SPORT运动和NORMAL日常。此外，新车全系配备的都是一块容量为18.1千瓦时的锂离子电池组，纯电模式下，四驱版车型的NEDC续航里程为87公里（两驱版为95公里），足以应对一天的上下班往返行驶。运动模式下，RAV4荣放双擎E+的加速能力绝对不容小觑，无论是我在赛道上全力加速时的主观感受，还是官方标定的0-100公里/小时7.4秒“破百”能力，都绝对对得起“运动”二字。 RAV4荣放双擎E+也体现着面面俱到的人性化设计和高档质感。简洁有序的轮廓线和恰到好处的金属饰条勾勒出一副大气精致的中控全貌，精细的工艺和富有质感的按键操作手感在它身上也没有缺席,2021-06-18,,
汽车网评,https://www.dongchedi.com/user/3335465294,【最满意】 最满意的地方就是它的能耗低，而且可以纯电行驶，充电的话普通充电也足够了，在单位上班的时候拉条线出来，充到下班刚好电池满，充一次用3-4天。不仅省钱，还省油。而且这一台车的空间也大，家里日常5个人坐车也不会觉得拥挤，后排的空间很舒服，坐上去也很柔软。 【最不满意】 不满意的地方就是储物空间多，但是都做的不是很大，实际上能用的地方不多。,,,2022-07-14
